sentence,label
"Sentence: ""Vertigo a""",1
"Sentence: ""Severe vertigo at AM a""",1
"Sentence: ""Vertigo in the morning with some nosebleed""",1
"Sentence: ""Excessive vertigo in the morning on rising as soon as he attempts to stand he falls back upon the bed only disappearing after half an hour""",1
"Sentence: ""Vertigo and weakness even to falling in the morning on rising""",1
"Sentence: ""Vertigo in the forenoon e b""",1
"Sentence: ""Whirling vertigo in the evening after lying in bed a quarter of an hour as if he would fall into a faint everything whirled around in the head two evenings in succession""",1
"Sentence: ""Vertigo in the evening while standing with rush of blood to the heart""",1
"Sentence: ""In the evening vertigo feeling as if all the blood rushed to the head a""",1
"Sentence: ""Vertigo on waking at night""",1
"Sentence: ""During the day frequent sudden vertigo especially when walking near a declivity The accustomed beer at night makes the vertigo worse a""",1
"Sentence: ""Vertigo when walking over running water even to falling down and all parts seem paralyzed""",1
"Sentence: ""Attacks of vertigo while walking with apprehension on looking in front of her wherewith there was immediately a crawling before the eyes""",1
"Sentence: ""While walking vertigo like an obscuration before the eyes a reeling to the left side lasting a few minutes""",1
"Sentence: ""Vertigo like reeling while walking""",1
"Sentence: ""Vertigo for eight minutes while walking in the open air on an elevation he could not step firmly with obscuration of his senses""",1
"Sentence: ""Vertigo while walking in the open air she did not dare to stoop nor to look down was obliged to steady herself to avoid falling""",1
"Sentence: ""Vertigo when lying on the back at night""",1
"Sentence: ""Vertigo while sitting reeling while standing""",1
"Sentence: ""At noon when sitting some vertigo b""",1
"Sentence: ""Vertigo lasting some minutes followed immediately by slight shooting in the anus b""",1
"Sentence: ""Vertigo to falling forward on suddenly rising from a seat""",1
"Sentence: ""Vertigo on stooping""",1
"Sentence: ""On rising from stooping position vertigo and weight in the head""",1
"Sentence: ""Vertigo with qualmishness a""",1
"Sentence: ""Vertigo with qualmishness to falling sideways while walking in the open air""",1
"Sentence: ""Vertigo and nausea so that everything turned about with her at night during perspiration lasting till morning""",1
"Sentence: ""A kind of occipital vertigo""",1
"Sentence: ""Want of steadiness and dizzy feeling accompanied anxious state""",1
"Sentence: ""A transient slight attack of vertigo""",1
"Sentence: ""Transient vertigo to falling sideways""",1
"Sentence: ""Vertigo worse soon after taking medicine but lasting in a slight degree all day slight vertigo b""",1
"Sentence: ""Vertigo as if from intoxication c""",1
"Sentence: ""Dizziness like a tingling and buzzing out at the forehead if she walks rapidly or moves the head suddenly""",1
"Sentence: ""Dizziness in the head in the afternoon dizziness in the morning soon after getting up that lasted till PM a""",1
"Sentence: ""A dizzy condition of the head prevented sharp and clear thought""",1
"Sentence: ""Dizziness with sticking in the head""",1
"Sentence: ""Dizziness unsteadiness of the head and body in the morning lasting three hours as if one stood upon wavering ground""",1
"Sentence: ""Waving and confusion in the head returns in the evening""",1
"Sentence: ""Reeling stupefaction and great weakness at AM she was obliged to lie down and lay till o'clock in an uneasy slumber in which she heard everything""",1
"Sentence: ""Reeling in the head""",1
"Sentence: ""Sense of giddiness""",1
"Sentence: ""In bed every place appears too hard for his head which on account of this disagreeable feeling he must keep moving hither and thither without succeeding in finding a better position a""",1
"Sentence: ""Dulness of the head in the evening""",3
"Sentence: ""Dulness of the head on waking at night""",3
"Sentence: ""Dulness of the head in the morning and pressure in the forehead till noon""",3
"Sentence: ""Dulness of the head after walking in the open air""",3
"Sentence: ""Great dulness and confusion""",3
"Sentence: ""Dulness of the head as from rush of blood especially on ascending steps""",3
"Sentence: ""In the evening dull pain in the whole head which lasted till late at night""",3
"Sentence: ""Weakness and dulness of the head during dinner lasting till evening""",3
"Sentence: ""Dull aching pain over the whole head lasting nearly three hours and then gradually going off less troublesome a""",3
"Sentence: ""Heaviness in the head a""",3
"Sentence: ""Heaviness of the head so that every motion was disagreeable""",3
"Sentence: ""Sensation of heaviness in the head and dulness as if he would fall forward relieved while walking but then a fine sticking in the head""",3
"Sentence: ""Heaviness of the head while sitting lying moving and stooping""",3
"Sentence: ""Head heavy and dizzy""",3
"Sentence: ""Heaviness and confusion of the whole head""",3
"Sentence: ""Sensation of fulness and heaviness in the head""",3
"Sentence: ""Feeling of fulness in the head as if filled with blood""",3
"Sentence: ""Fulness and heat in the head in the afternoon b""",3
"Sentence: ""Head seemed distended with loud noises in the ears""",3
"Sentence: ""Rush of blood to the head""",3
"Sentence: ""Rush of blood to the head during the menses""",3
"Sentence: ""Rush of blood to the head during a soft stool""",3
"Sentence: ""Rush of blood to the head like a slight pressure over the head""",3
"Sentence: ""Rush of blood to the head even during a soft stool and after riding in a wagon""",3
"Sentence: ""In two hours when in bed he had a violent rush of blood to the head and felt all the arteries in his head beating""",3
"Sentence: ""At night in bed rush of blood to the head with heat and confusion of it b""",3
"Sentence: ""On taking gentle exercise transient rush of blood to the head with burning and creeping in the skin of the face b""",3
"Sentence: ""Rush of blood to the head a pressure in it and out at the eyes a feeling of numbness before the ears""",3
"Sentence: ""Headache a etc""",3
"Sentence: ""The head pained as if raw and would not bear the slightest touch""",3
"Sentence: ""Aching in the head in the forenoon""",3
"Sentence: ""Headache as from a weight pressing upon the top of the brain and as from a cord around the head""",3
"Sentence: ""Headache and weariness while walking in the afternoon changing in the evening to toothache and sleepiness""",3
"Sentence: ""Headache with pressure in the eyes after eating""",3
"Sentence: ""In the evening headache with several momentary attacks of oppression""",3
"Sentence: ""A peculiar headache not easy to describe accompanied by vertigo and compelling her to keep quiet and at its worst to sit still she felt relief by shutting her eyes again affected by above described headache and vertigo Today she was obliged to remain constantly seated in order to keep off the attacks they were rather less in the open air In the afternoon this vertigo became extremely severe it followed upon nausea inclination to vomit twisting and turning in the stomach yawning excessive prostration almost amounting to trembling of the limbs and occasional noise in the head and ears a""",3
"Sentence: ""Headache as from incarceration of flatus""",3
"Sentence: ""Headache with nausea""",3
"Sentence: ""Much headache especially on stooping""",3
"Sentence: ""Headache only on ascending steps""",3
"Sentence: ""Pain and tingling all through the head""",3
"Sentence: ""Pain as if the brain were beating against the skull always on nodding the head""",3
"Sentence: ""Pain in the whole head on external pressure for example by a tight hat""",3
"Sentence: ""Every step is painfully felt in the head""",3
"Sentence: ""Headache worse in the open air better in the house""",3
"Sentence: ""Headache so that the eyes seem to close""",3
"Sentence: ""Pain in the head and abdomen on coughing""",3
"Sentence: ""Headache as if beaten and torn on coughing""",3
"Sentence: ""Aching and heat in the head about noon""",3
"Sentence: ""Headache especially in the forenoon as if the head were drawn forward and downward""",3
"Sentence: ""Towards evening headache and shooting in the throat""",3
"Sentence: ""Nightly headache an intolerable constantly increasing pressure in the lower portion of the occiput and in the vertex with pressure on the eyes which he must close and with chilliness not relieved by any covering with profuse offensive perspiration during which he must walk up and down the room""",3
"Sentence: ""Headache at night as if the skull would be torn open""",3
"Sentence: ""Constant headache""",3
"Sentence: ""Violent headache on getting up weight on the forehead this pain is aggravated in the open air and when walking a little later it becomes seated in the forehead and is pulsative""",3
"Sentence: ""Intense headache with sensation that his head and ears were suffered""",3
"Sentence: ""Violent headache at night which disturbed sleep she had rest in no position""",3
"Sentence: ""Violent headache""",3
"Sentence: ""In the evening violent pain as if the head were screwed together from without with flying heat in the face""",3
"Sentence: ""Violent pain in the middle of the head caused by coughing and sneezing""",3
"Sentence: ""Head stupefied a""",3
"Sentence: ""Violent stupefying headache and shooting in the left side of the chest lasting more than a quarter of an hour during the day dull headache in the afternoon stupefying headache""",3
"Sentence: ""Disturbance in the head so that she thought she had lost her reason Revised by Hughes""",3
"Sentence: ""A kind of stupid weakness in the head while walking in the open air with gloomy disagreeable ideas for several minutes at one time more at another less""",3
"Sentence: ""Pressure in the head in the morning immediately after rising""",3
"Sentence: ""Pressure in the head every other morning at or o'clock and so alternately till going to sleep""",3
"Sentence: ""Pressure in the head from one temple to the other in the morning after rising""",3
"Sentence: ""At AM slight pressive headache the whole head is affected this pain ceases in an hour it returns in the evening over the right eye only""",3
"Sentence: ""Pressive headache at AM towards PM it increases it feels as if the base of the brain were tightly compressed by a band""",3
"Sentence: ""Pressive headache in the house with tightness of the scalp relieved by uncovering the head""",3
"Sentence: ""Pressive headache every step is painfully felt in the forehead with perspiration on the forehead""",3
"Sentence: ""Pressive headache mostly on the vertex as if the eyes would be pressed down""",3
"Sentence: ""Pressive pain all over the head especially on the occiput aggravated by external pressure b""",3
"Sentence: ""Pressive headache at AM""",3
"Sentence: ""Slight compression of the head in the morning a""",3
"Sentence: ""Jerking headache""",3
"Sentence: ""Tensive pain in the head""",3
"Sentence: ""Tearing as with a saw in the head""",3
"Sentence: ""Tearing in the head outward at the ear""",3
"Sentence: ""Tearing in the head more in the afternoon than in the forenoon with weakness and thirstless heat is obliged to lay the head upon a table to get relief""",3
"Sentence: ""Sticklike tearing in long irregular intervals at one time through various parts of the head at another pain through the bones of the cheeks in the region of the lower jaw and other parts of the face""",3
"Sentence: ""Painful thrust in the head when coughing""",3
"Sentence: ""Stitch in the head""",3
"Sentence: ""Stitches in the head and out at the eyes""",3
"Sentence: ""Sticking headache at various times at times continuing at night with tearing in the lower jaw or followed by bruised pain in the side of the head mostly for a short time relieved by compression of the head at times obliging to lie down""",3
"Sentence: ""Hammering headache on vivacious talking""",3
"Sentence: ""Very painful hammering in the head""",3
"Sentence: ""Some blows through the whole head""",3
"Sentence: ""Beating of the brain against the skull on moving the head with pressive pain""",3
"Sentence: ""Throbbing in the head in the morning""",3
"Sentence: ""About AM violent throbbing of all the arteries of the head g""",3
"Sentence: ""Empty feeling in the head in the morning""",3
"Sentence: ""A kind of creeping feeling occasionally felt in the head especially on the parietal and occipital regions b""",3
"Sentence: ""A cold spot constantly on the top of the head""",3
"Sentence: ""In the evening severe cold in the head with headache""",3
"Sentence: ""Sensation of fog in his head and dizziness which makes him sad ideas indefinite with irresolution""",3
"Sentence: ""Slight headache at the left side of the forehead just above the eyebrow at noon troublesome aching on the left side of the forehead""",3
"Sentence: ""A sudden not violent pain in the left side of the forehead in the morning aching in the forehead first on the left side and then on the right extending to the mastoid process a""",4
"Sentence: ""During the day aching in the forehead b""",4
"Sentence: ""Transient aching in right side of forehead d""",4
"Sentence: ""In the morning aching pain in the forehead slight aching in the forehead""",4
"Sentence: ""Aching pain in the forehead and confusion of head as if he had taken too much alcoholic drink lasting until noon aching pain in forehead above eyebrows at AM after waking aching pain in forehead going off after getting up and washing on waking in the morning pressive pain in the forehead and occiput pressive headache over the eyebrows almost all day more or less severe and continued aching pain in forehead especially above the right eye lasting till noon a""",4
"Sentence: ""Aching pain in the forehead in the morning the usual headache b""",4
"Sentence: ""In the morning slight frontal headache in the morning aching in the forehead c""",4
"Sentence: ""Aching pain in forehead and occiput especially when stooping about noon""",4
"Sentence: ""Aching pains in the left frontal region in the evening""",4
"Sentence: ""Along with the febrile heat there occurred a disagreeable aching pain in the forehead and great restlessness which went off when sweat broke out""",4
"Sentence: ""After dinner aching in forehead and stomach""",4
"Sentence: ""Headache over the eyes every morning as from stopped coryza was constantly obliged to sneeze""",4
"Sentence: ""Headache above the eyes and nausea after eating followed by heaviness of the head""",4
"Sentence: ""Headache as from a board in front of the head""",4
"Sentence: ""Aching pains in the left frontal region on going upstairs a""",4
"Sentence: ""In the morning on waking headache having its seat above the forehead in the hairy scalp where it occupied a space the size of the palm of the hand it was of an aching pressive character when off when he rose up but did not go off till far on in the forenoon a""",4
