,sentence,label
0,"Sentence: ""Vertigo a""",1
1,"Sentence: ""Severe vertigo at AM a""",1
2,"Sentence: ""Vertigo in the morning with some nosebleed""",1
3,"Sentence: ""Excessive vertigo in the morning on rising as soon as he attempts to stand he falls back upon the bed only disappearing after half an hour""",1
4,"Sentence: ""Vertigo and weakness even to falling in the morning on rising""",1
5,"Sentence: ""Vertigo in the forenoon e b""",1
6,"Sentence: ""Whirling vertigo in the evening after lying in bed a quarter of an hour as if he would fall into a faint everything whirled around in the head two evenings in succession""",1
7,"Sentence: ""Vertigo in the evening while standing with rush of blood to the heart""",1
8,"Sentence: ""In the evening vertigo feeling as if all the blood rushed to the head a""",1
9,"Sentence: ""Vertigo on waking at night""",1
10,"Sentence: ""During the day frequent sudden vertigo especially when walking near a declivity The accustomed beer at night makes the vertigo worse a""",1
11,"Sentence: ""Vertigo when walking over running water even to falling down and all parts seem paralyzed""",1
12,"Sentence: ""Attacks of vertigo while walking with apprehension on looking in front of her wherewith there was immediately a crawling before the eyes""",1
13,"Sentence: ""While walking vertigo like an obscuration before the eyes a reeling to the left side lasting a few minutes""",1
14,"Sentence: ""Vertigo like reeling while walking""",1
15,"Sentence: ""Vertigo for eight minutes while walking in the open air on an elevation he could not step firmly with obscuration of his senses""",1
16,"Sentence: ""Vertigo while walking in the open air she did not dare to stoop nor to look down was obliged to steady herself to avoid falling""",1
17,"Sentence: ""Vertigo when lying on the back at night""",1
18,"Sentence: ""Vertigo while sitting reeling while standing""",1
19,"Sentence: ""At noon when sitting some vertigo b""",1
20,"Sentence: ""Vertigo lasting some minutes followed immediately by slight shooting in the anus b""",1
21,"Sentence: ""Vertigo to falling forward on suddenly rising from a seat""",1
22,"Sentence: ""Vertigo on stooping""",1
23,"Sentence: ""On rising from stooping position vertigo and weight in the head""",1
24,"Sentence: ""Vertigo with qualmishness a""",1
25,"Sentence: ""Vertigo with qualmishness to falling sideways while walking in the open air""",1
26,"Sentence: ""Vertigo and nausea so that everything turned about with her at night during perspiration lasting till morning""",1
27,"Sentence: ""A kind of occipital vertigo""",1
28,"Sentence: ""Want of steadiness and dizzy feeling accompanied anxious state""",1
29,"Sentence: ""A transient slight attack of vertigo""",1
30,"Sentence: ""Transient vertigo to falling sideways""",1
31,"Sentence: ""Vertigo worse soon after taking medicine but lasting in a slight degree all day slight vertigo b""",1
32,"Sentence: ""Vertigo as if from intoxication c""",1
33,"Sentence: ""Dizziness like a tingling and buzzing out at the forehead if she walks rapidly or moves the head suddenly""",1
34,"Sentence: ""Dizziness in the head in the afternoon dizziness in the morning soon after getting up that lasted till PM a""",1
35,"Sentence: ""A dizzy condition of the head prevented sharp and clear thought""",1
36,"Sentence: ""Dizziness with sticking in the head""",1
37,"Sentence: ""Dizziness unsteadiness of the head and body in the morning lasting three hours as if one stood upon wavering ground""",1
38,"Sentence: ""Waving and confusion in the head returns in the evening""",1
39,"Sentence: ""Reeling stupefaction and great weakness at AM she was obliged to lie down and lay till o'clock in an uneasy slumber in which she heard everything""",1
40,"Sentence: ""Reeling in the head""",1
41,"Sentence: ""Sense of giddiness""",1
42,"Sentence: ""In bed every place appears too hard for his head which on account of this disagreeable feeling he must keep moving hither and thither without succeeding in finding a better position a""",1
43,"Sentence: ""Dulness of the head in the evening""",3
44,"Sentence: ""Dulness of the head on waking at night""",3
45,"Sentence: ""Dulness of the head in the morning and pressure in the forehead till noon""",3
46,"Sentence: ""Dulness of the head after walking in the open air""",3
47,"Sentence: ""Great dulness and confusion""",3
48,"Sentence: ""Dulness of the head as from rush of blood especially on ascending steps""",3
49,"Sentence: ""In the evening dull pain in the whole head which lasted till late at night""",3
50,"Sentence: ""Weakness and dulness of the head during dinner lasting till evening""",3
51,"Sentence: ""Dull aching pain over the whole head lasting nearly three hours and then gradually going off less troublesome a""",3
52,"Sentence: ""Heaviness in the head a""",3
53,"Sentence: ""Heaviness of the head so that every motion was disagreeable""",3
54,"Sentence: ""Sensation of heaviness in the head and dulness as if he would fall forward relieved while walking but then a fine sticking in the head""",3
55,"Sentence: ""Heaviness of the head while sitting lying moving and stooping""",3
56,"Sentence: ""Head heavy and dizzy""",3
57,"Sentence: ""Heaviness and confusion of the whole head""",3
58,"Sentence: ""Sensation of fulness and heaviness in the head""",3
59,"Sentence: ""Feeling of fulness in the head as if filled with blood""",3
60,"Sentence: ""Fulness and heat in the head in the afternoon b""",3
61,"Sentence: ""Head seemed distended with loud noises in the ears""",3
62,"Sentence: ""Rush of blood to the head""",3
63,"Sentence: ""Rush of blood to the head during the menses""",3
64,"Sentence: ""Rush of blood to the head during a soft stool""",3
65,"Sentence: ""Rush of blood to the head like a slight pressure over the head""",3
66,"Sentence: ""Rush of blood to the head even during a soft stool and after riding in a wagon""",3
67,"Sentence: ""In two hours when in bed he had a violent rush of blood to the head and felt all the arteries in his head beating""",3
68,"Sentence: ""At night in bed rush of blood to the head with heat and confusion of it b""",3
69,"Sentence: ""On taking gentle exercise transient rush of blood to the head with burning and creeping in the skin of the face b""",3
70,"Sentence: ""Rush of blood to the head a pressure in it and out at the eyes a feeling of numbness before the ears""",3
71,"Sentence: ""Headache a etc""",3
72,"Sentence: ""The head pained as if raw and would not bear the slightest touch""",3
73,"Sentence: ""Aching in the head in the forenoon""",3
74,"Sentence: ""Headache as from a weight pressing upon the top of the brain and as from a cord around the head""",3
75,"Sentence: ""Headache and weariness while walking in the afternoon changing in the evening to toothache and sleepiness""",3
76,"Sentence: ""Headache with pressure in the eyes after eating""",3
77,"Sentence: ""In the evening headache with several momentary attacks of oppression""",3
78,"Sentence: ""A peculiar headache not easy to describe accompanied by vertigo and compelling her to keep quiet and at its worst to sit still she felt relief by shutting her eyes again affected by above described headache and vertigo Today she was obliged to remain constantly seated in order to keep off the attacks they were rather less in the open air In the afternoon this vertigo became extremely severe it followed upon nausea inclination to vomit twisting and turning in the stomach yawning excessive prostration almost amounting to trembling of the limbs and occasional noise in the head and ears a""",3
79,"Sentence: ""Headache as from incarceration of flatus""",3
80,"Sentence: ""Headache with nausea""",3
81,"Sentence: ""Much headache especially on stooping""",3
82,"Sentence: ""Headache only on ascending steps""",3
83,"Sentence: ""Pain and tingling all through the head""",3
84,"Sentence: ""Pain as if the brain were beating against the skull always on nodding the head""",3
85,"Sentence: ""Pain in the whole head on external pressure for example by a tight hat""",3
86,"Sentence: ""Every step is painfully felt in the head""",3
87,"Sentence: ""Headache worse in the open air better in the house""",3
88,"Sentence: ""Headache so that the eyes seem to close""",3
89,"Sentence: ""Pain in the head and abdomen on coughing""",3
90,"Sentence: ""Headache as if beaten and torn on coughing""",3
91,"Sentence: ""Aching and heat in the head about noon""",3
92,"Sentence: ""Headache especially in the forenoon as if the head were drawn forward and downward""",3
93,"Sentence: ""Towards evening headache and shooting in the throat""",3
94,"Sentence: ""Nightly headache an intolerable constantly increasing pressure in the lower portion of the occiput and in the vertex with pressure on the eyes which he must close and with chilliness not relieved by any covering with profuse offensive perspiration during which he must walk up and down the room""",3
95,"Sentence: ""Headache at night as if the skull would be torn open""",3
96,"Sentence: ""Constant headache""",3
97,"Sentence: ""Violent headache on getting up weight on the forehead this pain is aggravated in the open air and when walking a little later it becomes seated in the forehead and is pulsative""",3
98,"Sentence: ""Intense headache with sensation that his head and ears were suffered""",3
99,"Sentence: ""Violent headache at night which disturbed sleep she had rest in no position""",3
100,"Sentence: ""Violent headache""",3
101,"Sentence: ""In the evening violent pain as if the head were screwed together from without with flying heat in the face""",3
102,"Sentence: ""Violent pain in the middle of the head caused by coughing and sneezing""",3
103,"Sentence: ""Head stupefied a""",3
104,"Sentence: ""Violent stupefying headache and shooting in the left side of the chest lasting more than a quarter of an hour during the day dull headache in the afternoon stupefying headache""",3
105,"Sentence: ""Disturbance in the head so that she thought she had lost her reason Revised by Hughes""",3
106,"Sentence: ""A kind of stupid weakness in the head while walking in the open air with gloomy disagreeable ideas for several minutes at one time more at another less""",3
107,"Sentence: ""Pressure in the head in the morning immediately after rising""",3
108,"Sentence: ""Pressure in the head every other morning at or o'clock and so alternately till going to sleep""",3
109,"Sentence: ""Pressure in the head from one temple to the other in the morning after rising""",3
110,"Sentence: ""At AM slight pressive headache the whole head is affected this pain ceases in an hour it returns in the evening over the right eye only""",3
111,"Sentence: ""Pressive headache at AM towards PM it increases it feels as if the base of the brain were tightly compressed by a band""",3
112,"Sentence: ""Pressive headache in the house with tightness of the scalp relieved by uncovering the head""",3
113,"Sentence: ""Pressive headache every step is painfully felt in the forehead with perspiration on the forehead""",3
114,"Sentence: ""Pressive headache mostly on the vertex as if the eyes would be pressed down""",3
115,"Sentence: ""Pressive pain all over the head especially on the occiput aggravated by external pressure b""",3
116,"Sentence: ""Pressive headache at AM""",3
117,"Sentence: ""Slight compression of the head in the morning a""",3
118,"Sentence: ""Jerking headache""",3
119,"Sentence: ""Tensive pain in the head""",3
