sentence,label
Nightly raging delirium he will notkept in ed in the morning excessive sweat,124
He didthings hurriedly and ran aout the house,124
Transient frenzy t Not found in the origin -Hughes,124
Hope is aroused immediately after vomiting t Ment effect of vomiting after an antidote had een given,124
Crazy folly,124
He commenced todelirious and played uponleaf,124
Maniac delirium,124
Delirium,124
Loquacity,124
Exted spirits,124
Gayety with inclination to sing and dance /h,124
More gay and excited than usu st,124
He cannot remain long at one occupation,124
Excessive disagreeale restlessness without occasion for hurrying he is in the greatest haste every ostacle that delays his rapid pace is excessively,124
annoying he knocks against some people who do not get out of his way fast enough and runs in reathless haste up the steps this hurried disposition lasted two hours,124
He raves though awake jumps out of ed and imagines he is driving sheep,124
Lucid clairvoyant vision Hahnemanns note explains that he was conscious that his eloved fifty miles away was singingcertain piece,124
Lively memory,124
Lively imagination,124
Great activity of mind,124
He sits uried in thought,124
Rapid change of thought great exertion is required to fix the train of thought,124
Unsteadiness of ideas on attempting to think of one thing another forces it out of the mind and this is supplantedanother and so on until he ecomes quite confused,124
Restlessness uninterrupted unpleasant he must now sit now stand now wk he does not know what is the matter,124
Excessive restlessnessmovements and actions are performed with great haste and hurry,124
Impatience he throws himself anxiously aout and constantly changes his position etc,124
Hurried speech,124
Speaks much and rapidly,124
Alternate attacks of opposite mor symptoms,124
Variale humor at one time gay at another dejected,124
At times he seemed to weep and at times he sang,124
Now he douts his recovery now he is full of hope,124
Happiness,124
Now he was perfectly conscious and then again he raved,124
Quarrelsome with constantly varying delirium he chatters childish nonsense and is extravagantly gay,124
Morose peevish,124
Quarrelsome,124
Irasciility,124
Fretful,124
Vexation aout trifles,124
Extremely inclined tovexed /,124
Great indifference irritale,124
The slightest noise is unearale /,124
Over-sensitive to light and noise,124
He takes every joke in ad part,124
Cannot ear pain nor totouched nor uncovered,124
Great Anxiety,124
Anxiety only transiently relieveddrinking cold water,124
Anxiety as thoughgreat misfortune would happen to him,124
Increased anxiety followedtot apathy,124
Anxiety which does not low him to remain in one place he must constantly wk aout,124
He is made restlessintern anxiety,124
Anxiety and peevishness with fine dartings in the side of the chest then ppitation at the pit of the stomach and pressive headache,124
Inconsolale anxiety and piteous howlings with complaints and reproaches aout trifles,124
Dolorous anxious complaints with pusillanimous fears despair loud wailing and weeping and itter reproaches,124
His anxiety and fright rose togreat pitch,124
Flickering efore vision makes him anxious on the street he thinks he constantly jostles the passers,124
Anxiety he elieves he will soon die,124
Fear of approaching death -h,124
Excessive fear of death,124
Feeling as if his last hour had come,124
Thrice he ecame lind and affirmed death toat hand,124
Apprehensive t,124
Extreme fearfulness /,124
Dread of some accident happening,124
He cannot anish anxious apprehensive thoughts even in gay company,124
Fear lest he might stagger and fl,124
Great timidity aftersevere fright afraid to go out unattended after dark is unale to control his feelings of apprehensive fear,124
Fear of ghosts,124
Dejection,124
Depression of spirits t,124
Sadness solicitude,124
Dejected as if she had no life in her,124
Dejected disinclination for everything depression even whilst wking,124
Melancholy,124
Music is unearale it goes through every lim and makes her quite sad,124
She egan to cry violently with convulsive twitching of the faci muscles,124
Every now and then she utteredpeculiar plaintive cry,124
Dislike to company,124
Desire toone,124
Disinclined for conversation,124
Anthropophoia,124
Misanthropy,124
Ostinacy,124
Staid resolute not lively humor secondary curative action,124
Disinclination for ment laor,124
Disinclined to exert ody or mind,124
Disinclined to read sever,124
Unale to think or perform even the slightest ment laor sever,124
Distraction,124
Unusu distraction of ideas,124
Distraction of the attention whilst reading or writing owing to frequent cessation of thoughts,124
Thinking slowattention distured,124
It seemed to him that he could not think understand or know anything in his head as formerly ut thatthese ment processes took place in the pr e,124
"cordi region and aout the pit of the stomach after two hours he was twice attacked with vertigo and then the ordinary thinking power returned in the head""",124
Prepossession of the mind the thoughts he has ready conceived and hf written down he is unale to register completely without an effort to recl them,124
Want of memory what has just een done appears likedream which he can scarcely cl to rememrance,124
Weakness of memory -h,124
Memory very weak,124
Loss of memory,124
Loss of memory for dates,124
Diminished intellectu powers,124
Great confusedness oth of thought and action,124
Dulness and confusion of mind,124
Prostration of mind,124
Stupor,124
Insensiility,124
Loss of consciousness transient,124
Loss of consciousness during the convulsions,124
He lies instupid condition at evening eyes closed twitching of the faci muscles mouth compressed without power of speech,124
Coma t,124
Confusion in the head as after intoxication with pressure in the temples,3
Confusion of the head evenings with pressure in the forehead sever,3
Confused and muddled feeling in the head early in the morning after waking sever,3
Confusion with heaviness and fulness of the head aggravatedmotion sever,3
Confused head and pressive pain in the forehead mornings on waking,3
Confusion of the head soon changed tosense of heaviness and pressive pain in the vertex and forehead,3
Muddled sensation in the head,3
Easy stupefaction from toacco smoke,3
Vertigo and sever t many,3
V to fling,3
Confused Vday,3
Frequent attacks of V feeling as if aout to fl over,3
V as after slight intoxication with distraction of mind,3
V the child totters and cannot stand,3
V and stupefaction on enteringwarm room as if intoxicated,3
V especily on stooping  she staggers especily to the right,3
V everything seems to go around incircle she can scarcely get into ed,3
V as if into intoxicatedgoes around she staggers as if aout to fl with nausea worse on rising from sitting less while wking notl while sitting /h,3
Staggering as from concussion afterfl on the occiput,3
V sense of swaying hither and thither in the rain,3
V while stooping,3
V while standing,3
V on rising up,3
V with confusion in the head forenoons daily for days after leaving off the drug,3
V on motion and on rest,3
V great after dinner,3
V when wking or driving,3
V much increasedshaking the head wherey complete lackness comes efore eyes,3
V and headache in forehead and occiput oth worse on stooping min,3
Dizzy heaviness of the head chiefly in the forehead on stooping with nausea and sinking in the pit of stomach,3
Dizzy confusion of head on right side of forehead on wking in the open air,3
V with commencing staggering it seems to him as if he could not stand on his feet,3
V with headache especily in the occiput,3
V with distending pain in the occiput,3
